,Title,Date,Time,No.of comments,Score,Upvote,Tickers
187,$TSLA to ATHs and your account can be too if you join in!!!!,2021-09-27,2021-09-27 06:45:41,168,268,0.82,TSLA
188,Which one of you geniuses keeps buying the $TSLA puts I sell?,2021-09-25,2021-09-25 20:10:52,106,260,0.94,TSLA
189,Joined SDC Gang,2021-10-14,2021-10-14 00:18:05,65,262,0.88,SDC
190,Where my $wish crew this week? If you’re not in $wish now is the time!,2021-10-03,2021-10-03 22:26:19,319,261,0.7,WISH
191,SDC YOLO FROM A EUROPEAN APE. SEE YOU AT THE MOON MY AMERICAN RETARD COUSINS!!,2021-09-25,2021-09-25 22:25:23,60,261,0.87,SDC
192,TLRY moves,2021-10-05,2021-10-05 23:51:46,118,260,0.95,TLRY
193,All in SDC added. Waiting for short squeeze.,2021-09-28,2021-09-28 20:50:48,118,260,0.78,SDC
194,Ya'll.ready? 😏 $SDC,2021-10-05,2021-10-05 13:25:56,76,257,0.84,SDC
195,Bought the dip in MSFT and eventually looked at my phone : Officially apart of the 6-figure club,2021-09-29,2021-09-29 01:12:15,85,255,0.94,MSFT
196,Every cent this goes up I make 69$ 🦷 SDC🦷,2021-09-29,2021-09-29 00:31:12,60,253,0.89,SDC
197,MARA gains 🪙 💥🚀😊,2021-10-17,2021-10-17 05:45:06,68,252,0.85,MARA
198,YOLO: CLOV All in. going sell once i hit $1M ...:),2021-10-02,2021-10-02 05:31:23,79,255,0.89,CLOV
199,Working my way towards a new Model Plaid. Casual $TSLA 1400% Gainz in an hour.,2021-10-21,2021-10-21 21:19:14,58,284,0.91,TSLA
200,"$SNDL, the next leader of cannabis",2021-10-08,2021-10-08 17:48:46,182,246,0.67,SNDL
201,$clov to moon . Yolo,2021-10-14,2021-10-14 21:13:56,59,246,0.82,CLOV
202,Here’s my resume…. $WISH $CLOV,2021-10-20,2021-10-20 00:48:53,56,249,0.91,WISH
203,Here’s my resume…. $WISH $CLOV,2021-10-20,2021-10-20 00:48:53,56,249,0.91,CLOV
204,$GOEV is just the broke mans tesla,2021-09-23,2021-09-23 21:36:28,59,247,0.88,GOEV
205,"The mid-day update. Top trending tickers on WallStreetBets and why: SOFI, CLOV, SDC, GME, BABA",2021-10-11,2021-10-11 23:00:39,59,245,0.89,SOFI
206,"The mid-day update. Top trending tickers on WallStreetBets and why: SOFI, CLOV, SDC, GME, BABA",2021-10-11,2021-10-11 23:00:39,59,245,0.89,CLOV
207,"The mid-day update. Top trending tickers on WallStreetBets and why: SOFI, CLOV, SDC, GME, BABA",2021-10-11,2021-10-11 23:00:39,59,245,0.89,SDC
208,Netflix's 'Squid Game' Will Generate About $900 Million,2021-10-18,2021-10-18 08:53:38,140,244,0.91,NFLX
209,WKHS ...Video today : Last-Mile Delivery Drone in action,2021-09-29,2021-09-29 07:25:16,174,242,0.81,WKHS
210,WISH Peaking through the falling wedge resistance today. Tomorrow could be an important day to confirm breakout.,2021-10-14,2021-10-14 09:50:51,138,245,0.73,WISH
211,"TLRY Oct 8, $148k YOLO",2021-10-04,2021-10-04 19:17:57,103,237,0.94,TLRY
212,Any day now ….🍀 CLOV,2021-10-16,2021-10-16 21:20:57,67,236,0.84,CLOV
213,$CLOV ☘️ All IN. I don’t mind eating ramen everyday for the rest of the year.,2021-09-29,2021-09-29 22:52:14,53,239,0.87,CLOV
214,CRSR YOLO Update,2021-10-15,2021-10-15 20:48:17,105,234,0.94,CRSR
215,"I finally feel like a true retard... and yes, I am still holding $SDC",2021-09-29,2021-09-29 23:35:45,90,234,0.88,SDC
216,DD - GOEV CEO Just Bought the DIP,2021-09-24,2021-09-24 04:10:48,86,235,0.9,GOEV
217,I bought 126 CLOV calls that’s expiring this week,2021-10-12,2021-10-12 07:38:12,110,227,0.78,CLOV
218,20K YOLO ON SDC,2021-09-22,2021-09-22 09:58:12,37,230,0.89,SDC
219,"185k Yolo On CRSR Stock - I'm Ready For The 50% Upward Move Baby, Are You?",2021-10-08,2021-10-08 06:46:28,37,226,0.89,CRSR
220,I have never been more Bullish on a stock than I am in SDC. All In. Part 2,2021-10-02,2021-10-02 05:42:19,171,222,0.82,SDC
221,An Introduction to RocketLab $RKLB 10/20/2021,2021-10-21,2021-10-21 01:58:26,83,224,0.94,III
222,SDC DD (Not based on a Short Squeeze),2021-10-01,2021-10-01 21:50:45,54,220,0.9,SDC
223,I do too have a small Wee Wee. SDC 🤏🤏🤏🤏,2021-10-08,2021-10-08 23:42:06,22,220,0.85,SDC
224,$SDC - Where every inch counts! 📐 = 🚀🚀🚀,2021-09-23,2021-09-23 22:21:20,89,212,0.9,SDC
225,Retards Today after they YOLO'd on SDC calls,2021-09-29,2021-09-29 10:02:53,30,214,0.93,SDC
226,The Many Saints of $WISH,2021-10-19,2021-10-19 23:36:37,47,212,0.89,WISH
227,SDC.. going to 🌙,2021-10-16,2021-10-16 22:39:54,91,213,0.81,SDC
228,CLOV $40K YODEL YOLO,2021-10-13,2021-10-13 02:30:15,46,214,0.86,CLOV
229,Its CRSR time baby! Corsair Gaming is a Solid Company is Poised for Liftoff. Huge Profits + Cheap Valuation = Huge Gains IMO,2021-10-12,2021-10-12 22:59:24,88,211,0.82,CRSR
230,"Daily Popular Tickers Thread for October 04, 2021 - GME | GM | TSLA",2021-10-04,2021-10-04 15:30:18,550,207,0.89,TSLA
231,"$TSLA q3 2021 earnings, visualized",2021-10-22,2021-10-22 03:20:16,22,322,0.91,TSLA
232,$AMD Q3 is going to be a blowout. $TSM already gave the right indication. Let’s go!,2021-10-18,2021-10-18 00:58:15,51,207,0.92,AMD
233,🚀At the heart of the smart city BB DD🚀,2021-09-29,2021-09-29 08:50:24,34,202,0.96,GNUS
234,🚀At the heart of the smart city BB DD🚀,2021-09-29,2021-09-29 08:50:24,34,202,0.96,CRWD
235,#WISH 600k YOLO,2021-09-27,2021-09-27 18:35:35,97,203,0.77,WISH
236,"Who needs a designer bag, when you got $WISH bags",2021-10-01,2021-10-01 06:49:35,91,202,0.91,WISH
237,$AMD yolo .. $150k down .. hoping papa musk’s tweet will save the day ..,2021-09-30,2021-09-30 05:57:31,174,202,0.85,AMD
238,$GOEV Rocket prepped and fueled for takeoff 🚀🚀🚀,2021-09-25,2021-09-25 10:56:06,93,203,0.84,GOEV
239,"$GOEV - the chart has spoken, its time to eat crayons!",2021-09-25,2021-09-25 00:49:37,75,201,0.88,GOEV
240,"$GOEV - the chart has spoken, its time to eat crayons!",2021-09-25,2021-09-25 00:49:37,75,201,0.88,BLUE
241,SDC loss. Buying more tomorow….,2021-09-23,2021-09-23 11:17:12,56,204,0.93,SDC
242,"WASHED UP, OLD APE BOOMER PLAY $F",2021-10-20,2021-10-20 22:49:38,64,203,0.92,PLAY
243,"Daily Popular Tickers Thread for October 01, 2021 - GME | AMC | BBBY",2021-10-01,2021-10-01 15:30:23,418,198,0.92,BBBY
244,The case for Cannabis - Inverse Jim Cramer with TLRY 10/13/21,2021-10-13,2021-10-13 21:53:46,65,199,0.93,TLRY
245,SAVA. Cause. More. Wrinkle.,2021-10-01,2021-10-01 17:54:58,160,193,0.94,SAVA
246,SAVA. Cause. More. Wrinkle.,2021-10-01,2021-10-01 17:54:58,160,193,0.94,SP
247,SAVA. Cause. More. Wrinkle.,2021-10-01,2021-10-01 17:54:58,160,193,0.94,BIIB
248,YOLO $SOFI - Who's with me?,2021-10-14,2021-10-14 21:45:50,45,197,0.89,SOFI
249,$AMD update. In Su Bae we trust.,2021-10-18,2021-10-18 22:16:48,22,193,0.95,AMD
250,$SDC Bought 5k shares and 50 protective puts as an insurance,2021-10-20,2021-10-20 00:47:48,95,191,0.85,SDC
251,SOFI - Bank Charter and Earnings play (DD),2021-10-19,2021-10-19 00:39:06,57,190,0.89,SOFI
252,5000 shares in $SOFI,2021-10-20,2021-10-20 22:41:20,35,191,0.9,SOFI
253,"To satisfy your thirst for more $CLOV YOLO loss porn, shortly set to become gain porn - $CLOV 🍀🚀💎👐",2021-10-08,2021-10-08 00:54:30,42,190,0.92,CLOV
254,42k YOLO $Wish,2021-10-20,2021-10-20 02:51:54,46,191,0.87,WISH
255,$SDC Cost to borrow just picked up!,2021-09-30,2021-09-30 23:31:00,72,187,0.85,SDC
256,$WISH add 50k shares near 5$. GO TO 69$🚀🚀🚀,2021-10-21,2021-10-21 13:55:29,60,196,0.81,WISH
257,$WISH GANG,2021-10-04,2021-10-04 04:24:12,80,188,0.81,WISH
258,"DD: Corsair again $CRSR, bargain.",2021-10-07,2021-10-07 02:46:19,72,186,0.86,CRSR
259,"DD: Corsair again $CRSR, bargain.",2021-10-07,2021-10-07 02:46:19,72,186,0.86,RAM
260,Please go to $10 again WISH,2021-10-02,2021-10-02 21:15:54,130,183,0.82,WISH
261,$CLOV $GOEV YOLO. Looking for some tendies.,2021-09-27,2021-09-27 22:26:15,31,185,0.86,CLOV
262,$CLOV $GOEV YOLO. Looking for some tendies.,2021-09-27,2021-09-27 22:26:15,31,185,0.86,GOEV
263,$WISH 💎🙌 down $44k,2021-09-24,2021-09-24 20:38:14,116,181,0.84,WISH
264,Here is my FB position I covered today had to take the gains the hidden part is GME can’t wait to show you guys that update 👀,2021-10-06,2021-10-06 19:24:18,54,177,0.85,FB
265,"$GOEV, My prediction for GOEV on Monday but in a dank GOT meme",2021-09-24,2021-09-24 22:02:24,31,179,0.88,GOEV
266,TSLA to offer disruptive insurance product,2021-10-18,2021-10-18 00:52:53,90,182,0.86,TSLA
267,TLRY earnings gonna print paper faster than you can roll a blunt for your wife’s BF. Hop in before Thursday apes 🦍 🍌 🌚 🚀 🚀 🚀,2021-10-05,2021-10-05 03:15:55,69,180,0.89,TLRY
268,Corsair (CRSR) Stock about to moon baby! This profitable growth stock is being ignored by Wallstreet. This 27 dollar stock going to 40 FAST?,2021-09-23,2021-09-23 05:59:40,139,179,0.8,CRSR
269,Corsair (CRSR) Stock about to moon baby! This profitable growth stock is being ignored by Wallstreet. This 27 dollar stock going to 40 FAST?,2021-09-23,2021-09-23 05:59:40,139,179,0.8,FAST
270,Corsair (CRSR) Stock about to moon baby! This profitable growth stock is being ignored by Wallstreet. This 27 dollar stock going to 40 FAST?,2021-09-23,2021-09-23 05:59:40,139,179,0.8,AMD
271,$WISH to $6,2021-10-15,2021-10-15 03:19:53,95,178,0.83,WISH
272,$Clov yolo🤑!!,2021-09-24,2021-09-24 16:03:37,65,178,0.76,CLOV
273,Why SOFI is a Must Own,2021-10-02,2021-10-02 05:20:53,47,171,0.89,SOFI
274,Why SOFI is a Must Own,2021-10-02,2021-10-02 05:20:53,47,171,0.89,UPST
275,My $WISH DD,2021-10-05,2021-10-05 00:29:59,106,175,0.8,WISH
276,My $WISH DD,2021-10-05,2021-10-05 00:29:59,106,175,0.8,TA
277,SDC BEGINNING IN FRANCE,2021-09-23,2021-09-23 21:54:41,47,176,0.93,SDC
278,Silly Season: ⚡Factory Shutdowns and the looming Implant Shortage 🍈🍈 $GSM,2021-10-01,2021-10-01 23:43:58,31,174,0.96,GSM
279,Silly Season: ⚡Factory Shutdowns and the looming Implant Shortage 🍈🍈 $GSM,2021-10-01,2021-10-01 23:43:58,31,174,0.96,IEA
280,HYZN: Down 35% after fake short seller report - perfect target for a squeeze,2021-09-30,2021-09-30 00:05:36,123,170,0.91,HYZN
281,"Daily Popular Tickers Thread for October 05, 2021 - FB | GME | BABA",2021-10-05,2021-10-05 15:30:23,565,171,0.89,FB
282,$SOFI - A Retard's Retirement Paradise,2021-10-21,2021-10-21 01:23:00,59,175,0.88,SOFI
283,"With a Short Interest of Over 33 Percent of Its Entire Float, Canoo (GOEV) Starts Receiving Some Much-Needed Love From WallStreetBets",2021-09-24,2021-09-24 05:37:44,65,170,0.78,GOEV
284,Burry’s $TSLA short was less than a million not 500+ mn,2021-10-11,2021-10-11 13:37:55,31,167,0.89,TSLA
285,"$AMC target 70.55 the 61.8% extension, am expecting DUNE to have a strong opening weekend, Technically she is set up for a continuation regardless",2021-10-18,2021-10-18 20:12:14,63,166,0.72,DUNE
286,"!!! news. mother of all lawsuits quietly filed last month vs Facebook in Delaware. I'll explain why it avoided notice until now in a bit but Zuckerberg, Sandberg, CFO, board inc Peter Thiel and Palantir are defendants - it's a result of sealed docs between FB execs and board. /1",2021-10-06,2021-10-06 17:38:35,43,168,0.92,FB
287,WISH IS MOVING UPWARD MOMENTUM:,2021-10-20,2021-10-20 01:48:09,123,165,0.75,WISH
288,WISH IS MOVING UPWARD MOMENTUM:,2021-10-20,2021-10-20 01:48:09,123,165,0.75,MELI
289,WISH IS MOVING UPWARD MOMENTUM:,2021-10-20,2021-10-20 01:48:09,123,165,0.75,ETSY
290,TESLA VS. BEARS,2021-09-28,2021-09-28 02:09:08,13,164,0.88,VS
291,"TSLA gains, thx Elon",2021-10-19,2021-10-19 11:04:23,13,162,0.89,TSLA
292,This is How CLOV Will Break Through $20 in December,2021-10-18,2021-10-18 16:00:19,90,161,0.7,CLOV
293,This is How CLOV Will Break Through $20 in December,2021-10-18,2021-10-18 16:00:19,90,161,0.7,ROLL
294,"CRSR, low float and highly shorted.",2021-10-07,2021-10-07 23:27:11,51,158,0.86,CRSR
295,"$WISH, Have we bottom out yet ?",2021-10-05,2021-10-05 05:43:15,124,162,0.86,WISH
296,SOFI only going to get better from here!,2021-10-13,2021-10-13 01:24:03,23,155,0.9,SOFI
297,"If Elon reports insane Tesla deliveries over the weekend, my 200 $900 $TSLA contracts are going to print. If not, I can always move home.",2021-10-02,2021-10-02 01:33:42,89,155,0.93,TSLA
298,"SAVE BIG ON TAXES BY TRADING SPX/NDX CORRECTLY: If you use SPY/QQQ options and not SPX/XSP/NDX/ES/NQ options for short-term trades, after reading this, you should consider yourself a moron. Annual PSA!",2021-10-03,2021-10-03 02:27:32,105,155,0.93,CASH
299,Your loss porn is cathartic for me….,2021-10-09,2021-10-09 15:37:11,78,157,0.84,CHK
300,$WISH DD: Upside Surprise Potential in November Earnings,2021-10-08,2021-10-08 11:52:19,73,151,0.77,WISH
301,CLOV YOLO,2021-09-29,2021-09-29 00:18:29,23,154,0.91,CLOV
302,AST SpaceMobile Assured PNT / Fused LEO GNSS potential.,2021-09-27,2021-09-27 17:00:26,40,157,0.92,PNT
303,AST SpaceMobile Assured PNT / Fused LEO GNSS potential.,2021-09-27,2021-09-27 17:00:26,40,157,0.92,GNSS
304,As TLRY breaks out of a falling wedge…….and earnings coming October 7th(30% Jump last earnings )…..and banks doing business with cannabis companies passed ….now is it a good time to get in so you don’t chase the rocket,2021-09-24,2021-09-24 05:44:09,79,155,0.85,TLRY
305,$LTCH: A play worth locking in,2021-09-28,2021-09-28 19:27:49,25,156,0.91,LTCH
306,$TELL- Recent Moves in Nat Gas,2021-10-03,2021-10-03 23:24:55,55,151,0.93,TELL
307,39k $SDC yolo,2021-10-01,2021-10-01 00:31:00,35,150,0.88,SDC
308,$GOEV YOLO,2021-09-23,2021-09-23 20:23:38,23,155,0.9,GOEV
309,$LCID Lucid Motors ☁️⚡ Big announcement this week - get in before the news drop,2021-09-27,2021-09-27 23:21:58,140,152,0.79,LCID
310,$LCID Lucid Motors ☁️⚡ Big announcement this week - get in before the news drop,2021-09-27,2021-09-27 23:21:58,140,152,0.79,TSLA
311,Let's try this $WISH business YOLO,2021-09-23,2021-09-23 19:25:13,82,152,0.89,WISH
312,Hide Your Wife as I'll Pull Up To Your House in a Pink Lambo - $ROOT from $5 to $15 PT (+200%),2021-10-20,2021-10-20 22:10:51,73,152,0.84,ROOT
313,SDC thoughts?,2021-10-16,2021-10-16 22:23:23,111,152,0.8,SDC
314,"YOLOs on DNA, GENI, CC, JBI, VIAC - $3.5M on the line",2021-09-25,2021-09-25 20:46:43,93,151,0.85,VIAC
315,WISH squad. LFG!,2021-10-20,2021-10-20 02:02:06,44,147,0.81,WISH
316,Why do people keep trying to screw $SDC hit the threshold list today.,2021-10-05,2021-10-05 12:06:46,31,149,0.85,SDC
317,How To Pick BIG MOVERS 🚀 - The Importance of ADR & How To Use It.,2021-10-18,2021-10-18 14:57:51,19,145,0.92,SOFI
318,How To Pick BIG MOVERS 🚀 - The Importance of ADR & How To Use It.,2021-10-18,2021-10-18 14:57:51,19,145,0.92,AAPL
319,How To Pick BIG MOVERS 🚀 - The Importance of ADR & How To Use It.,2021-10-18,2021-10-18 14:57:51,19,145,0.92,NNDM
320,A Bears Guide to Shorting Stupid Meme Stocks,2021-09-26,2021-09-26 03:10:21,127,147,0.82,VERY
321,💎🙌 SDC YOLO. Part 2.,2021-09-25,2021-09-25 06:13:07,27,147,0.87,SDC
322,Avepoint (AVPT) : An Undervalued Play Which Literally Can't Go Tits Up,2021-10-07,2021-10-07 23:06:19,74,143,0.86,AVPT
323,Why SOFI will be buying my wife and me a new boyfriend,2021-10-04,2021-10-04 10:47:31,47,135,0.86,SOFI
324,"We are having an interesting situation on $CLOV. - Oct 15 options open interest is lower than usual. - Implied volatility is quite low, as low as it was before June $20+ jump. - The stock price is also historically low. What does this mean? Thread below... 👇 If you are planning to buy calls, buy now",2021-09-28,2021-09-28 02:27:10,47,138,0.79,CLOV
325,$GOEV keep this one on watch - nicely bottomed out and 30% short,2021-10-10,2021-10-10 05:30:45,95,135,0.82,GOEV
326,CRSR | Shorts are getting overleveraged and will have to cover on move to upside,2021-10-01,2021-10-01 01:45:49,55,137,0.87,CRSR
327,Another $AMZN Gain 💸,2021-10-16,2021-10-16 09:13:28,36,134,0.87,AMZN
328,Top 10 Short Analysis and Big & Safe Moves for October: $ROOT and others,2021-09-27,2021-09-27 20:46:31,80,134,0.89,ROOT
329,Top 10 Short Analysis and Big & Safe Moves for October: $ROOT and others,2021-09-27,2021-09-27 20:46:31,80,134,0.89,NKLA
330,Top 10 Short Analysis and Big & Safe Moves for October: $ROOT and others,2021-09-27,2021-09-27 20:46:31,80,134,0.89,GOEV
331,Top 10 Short Analysis and Big & Safe Moves for October: $ROOT and others,2021-09-27,2021-09-27 20:46:31,80,134,0.89,SDC
332,Top 10 Short Analysis and Big & Safe Moves for October: $ROOT and others,2021-09-27,2021-09-27 20:46:31,80,134,0.89,CASH
333,Top 10 Short Analysis and Big & Safe Moves for October: $ROOT and others,2021-09-27,2021-09-27 20:46:31,80,134,0.89,TSLA
334,Quite possibly the best opportunity that you will ever have and it is today and right now!,2021-09-27,2021-09-27 14:50:07,173,129,0.66,VERY
335,$SOFI Bank Charter Very Very Soon,2021-10-01,2021-10-01 03:42:52,50,132,0.93,SOFI
336,SOFI Update - 💎 ✋ clawing back the earnings L,2021-09-24,2021-09-24 20:58:50,20,130,0.89,SOFI
337,Who else loves UPST,2021-10-17,2021-10-17 17:58:08,110,127,0.84,UPST
338,"CLOV Stock: Skeptical, Wall Street Still Sees 6% Upside",2021-10-13,2021-10-13 16:47:40,16,128,0.86,CLOV
339,I just posted about alibaba and was convinced on TLRY - so good luck fellow apes! 🌙 🚀 please don’t tell my wife’s BF I’m using his money,2021-09-30,2021-09-30 23:40:22,70,132,0.89,TLRY
340,"$SOFI YOLO (bought 3k shares yesterday, 2k today)",2021-09-30,2021-09-30 04:35:51,52,128,0.87,SOFI
341,$ROOT Stock - Safe and High ROI setup for October - Analysis of Naked Short Setup,2021-09-28,2021-09-28 09:13:09,49,127,0.9,ROOT
342,$ROOT Stock - Safe and High ROI setup for October - Analysis of Naked Short Setup,2021-09-28,2021-09-28 09:13:09,49,127,0.9,SDC
343,$ROOT Stock - Safe and High ROI setup for October - Analysis of Naked Short Setup,2021-09-28,2021-09-28 09:13:09,49,127,0.9,NKLA
344,$ROOT Stock - Safe and High ROI setup for October - Analysis of Naked Short Setup,2021-09-28,2021-09-28 09:13:09,49,127,0.9,GOEV
345,When it’s your rent Money 2k can taste like some high octane shit. $SDC make me smile again,2021-10-05,2021-10-05 09:52:49,41,130,0.86,SDC
346,Why I am invested in Alibaba.,2021-10-13,2021-10-13 21:43:12,133,130,0.74,PDD
347,WISH: how a Q3 Revenue Beat Will Catch Shorts by Surprise,2021-10-12,2021-10-12 22:06:26,71,128,0.77,WISH
348,$Wish and Neurotic Mr. Market,2021-10-04,2021-10-04 22:01:29,52,128,0.87,WISH
349,CIFR and the Gold Standard of Valuing Miners,2021-10-19,2021-10-19 00:19:43,73,124,0.94,EH
350,AMRS- Making limited stuff unlimited (referring to your $$),2021-10-08,2021-10-08 05:28:36,52,122,0.9,AMRS
351,PSFE….the next SQ / PayPal to the moon,2021-10-06,2021-10-06 20:07:09,47,121,0.82,WIRE
352,PSFE….the next SQ / PayPal to the moon,2021-10-06,2021-10-06 20:07:09,47,121,0.82,API
353,Make $ASTS Great Again,2021-09-26,2021-09-26 09:48:38,34,120,0.79,ASTS
354,Not too late folks! $TSLA🚀🚀🚀,2021-10-14,2021-10-14 01:49:47,74,121,0.84,TSLA
355,Small AMD scalp v2,2021-10-22,2021-10-22 01:52:06,33,169,0.93,AMD
356,Solid setup into Monday. Anchored VWAP above around $9. $CLOV,2021-10-04,2021-10-04 07:05:54,30,118,0.84,CLOV
357,College student yolo into BBBY with x5 leverage. Wish me luck.,2021-10-01,2021-10-01 05:34:31,197,117,0.86,BBBY
358,$CRSR | A Long Form Corsair DD,2021-09-30,2021-09-30 08:55:38,48,118,0.9,CRSR
359,$SOFi is Bloomberg's Top Idea!,2021-10-21,2021-10-21 18:25:31,42,131,0.89,SOFI
360,$ROOT. Buy the bottom. Extreme Value.,2021-09-30,2021-09-30 07:06:06,88,118,0.85,ROOT
361,CRSR stock is a powerful force not to be reckoned with. Corsair stock going to the moon quick bois!,2021-09-25,2021-09-25 00:01:52,56,115,0.79,CRSR
362,Why I think CLF is bound to largely exceed expectations in Q3 and Q4,2021-10-18,2021-10-18 02:49:18,43,112,0.88,SP
363,CLNE YOLO - update,2021-09-28,2021-09-28 01:39:49,29,114,0.82,CLNE
364,$WISH - Week 3 Loss Update 😂 5K more shares coming over weekend through assigned Puts lol,2021-10-02,2021-10-02 07:45:27,61,113,0.92,WISH
365,How to ACTUALLY play earnings,2021-10-20,2021-10-20 02:12:56,99,112,0.88,TSLA
366,62K $HUT YOLO - The stock is undervalued,2021-10-11,2021-10-11 23:32:25,21,113,0.88,HUT
367,WISH YOLO...Lets do this,2021-10-04,2021-10-04 05:09:42,53,113,0.76,WISH
368,Why BB Blackberry patent sale is taking this long,2021-09-24,2021-09-24 04:34:01,20,112,0.9,FB
369,"81,000 Shares , 400 Call Contracts - Mattress Stocks are the 2 Million dollar play - PRPL",2021-09-23,2021-09-23 23:53:36,89,111,0.89,PRPL
370,How many people have actually tried using $WISH's website?,2021-09-30,2021-09-30 10:23:10,74,111,0.86,WISH
371,How many people have actually tried using $WISH's website?,2021-09-30,2021-09-30 10:23:10,74,111,0.86,ANY
372,(Update) Palantir Technologies (PLTR) Price Action 10 Oct 21 🚀 🚀,2021-10-10,2021-10-10 08:11:10,74,107,0.87,TSLA
373,(Update) Palantir Technologies (PLTR) Price Action 10 Oct 21 🚀 🚀,2021-10-10,2021-10-10 08:11:10,74,107,0.87,SDC
374,Few months ago someone turned $90 into $24000 in one day. Looks like the similar opportunity is still alive.,2021-10-04,2021-10-04 08:13:56,114,107,0.73,STMP
375,"$PLTR: Recent News, SEC Filings, and insider selling",2021-10-09,2021-10-09 22:47:00,48,109,0.88,FFIE
376,"$PLTR: Recent News, SEC Filings, and insider selling",2021-10-09,2021-10-09 22:47:00,48,109,0.88,CD
377,"ROOT, The Tech and AI Firm Revolutionizing an Industry and my MONSTER position",2021-09-23,2021-09-23 09:27:19,23,108,0.85,ROOT
378,SDC is a dogshit company... but they know if they can survive the short term they'll win the long term game,2021-10-12,2021-10-12 01:23:59,65,107,0.73,SDC
379,WISH TO 69.... 🙈,2021-09-30,2021-09-30 23:27:52,36,108,0.88,WISH
380,The power of holding through an uptrend,2021-10-18,2021-10-18 20:10:54,36,106,0.93,BNGO
381,The power of holding through an uptrend,2021-10-18,2021-10-18 20:10:54,36,106,0.93,CLOV
382,The power of holding through an uptrend,2021-10-18,2021-10-18 20:10:54,36,106,0.93,RIOT
383,$ME 23&me inevitable break through,2021-10-15,2021-10-15 20:20:36,81,105,0.84,ME
384,TLRY (TILRAY-NASDAQ),2021-10-13,2021-10-13 10:50:39,32,105,0.86,TLRY
385,"New Chart Pattern: DUCK, DUCK, F***, GOOSE Pattern on $SDC (Test with $ROOT)",2021-10-05,2021-10-05 03:15:59,23,100,0.89,SDC
386,"New Chart Pattern: DUCK, DUCK, F***, GOOSE Pattern on $SDC (Test with $ROOT)",2021-10-05,2021-10-05 03:15:59,23,100,0.89,ROOT
387,"Ain't much, but honest gains. Thanks $Tell",2021-09-28,2021-09-28 07:46:54,29,101,0.91,TELL
